key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.48760270001366735,68.3870472998824,68.3870472998824,68.69216269999743,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.04994246849682526,0.0003323000855743885,71.17207069997676,71.17207069997676,71.47190329991281,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,up,0.01,db,0.05,0.0006673999596387148,73.7045132999774,73.7045132999774,74.00452009984292,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,up,0.01,db,0.05,0.0006731001194566488,76.6206333998125,76.6206333998125,76.92008609999903,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.01,db,0.05005759777690845,0.0007089001592248678,79.43616979988292,79.43616979988292,79.7356398999691,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.01,db,0.05005759777690845,0.0005840999074280262,81.91838679998182,81.91838679998182,82.21840759995393,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,up,0.01,db,0.050115261903894995,0.0008141999132931232,84.38417969993316,84.38417969993316,84.68415449978784,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,up,0.01,db,0.050115261903894995,0.0006852999795228243,87.1665826998651,87.1665826998651,87.4665072998032,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,up,0.01,db,0.05017299245739197,0.0006577000021934509,89.73259369982406,89.73259369982406,90.03227709978819,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,up,0.01,db,0.05017299245739197,0.000631700037047267,92.34840919985436,92.34840919985436,92.64798449981026,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,up,0.01,db,0.05017299245739197,0.0008682999759912491,94.89740599994548,94.89740599994548,95.19733939995058,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,down,0.005,db,0.05014411887254922,0.000604500062763691,97.6465939998161,97.6465939998161,97.94631229992956,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,down,0.005,db,0.05014411887254922,0.0005446998402476311,100.41224919981323,100.41224919981323,100.71233449992724,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.005,db,0.05017299245739197,0.0006955000571906567,103.29460829985328,103.29460829985328,103.59434679988772,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.005,db,0.05017299245739197,0.000647400040179491,105.76052089990117,105.76052089990117,106.06036409991793,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,0.005,db,0.05020188266799105,0.0006975000724196434,108.50972400000319,108.50972400000319,108.80954719986767,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,0.005,db,0.05020188266799105,0.00043550017289817333,111.12532349978574,111.12532349978574,111.42507159989327,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,0.005,db,0.050230789513919766,0.0005767999682575464,113.87445829994977,113.87445829994977,114.17428179993294,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,0.005,db,0.05025971300475694,0.0006212999578565359,116.3235025999602,116.3235025999602,116.6232175999321,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.005,db,0.05025971300475694,0.0007050998974591494,118.95611909986474,118.95611909986474,119.25588819989935,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.005,db,0.05028865315008692,0.0007913000881671906,121.55518089979887,121.55518089979887,121.85495729977265,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.005,db,0.05031760995949955,0.0006073000840842724,124.07112859981135,124.07112859981135,124.37075399979949,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.005,db,0.050346583442590215,0.0006504000630229712,126.60357779986225,126.60357779986225,126.90312079992145,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.005,db,0.050346583442590215,0.00047779991291463375,129.2692132999655,129.2692132999655,129.568689199863,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.005,db,0.05037557360895981,0.0006752000190317631,131.95147239998914,131.95147239998914,132.2512097998988,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.005,db,0.05037557360895981,0.0006811998318880796,134.833967999788,134.833967999788,135.13375479984097,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.005,db,0.050404580468214784,0.0005356001202017069,137.46644839993678,137.46644839993678,137.76619969983585,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.005,db,0.050404580468214784,0.0008146001491695642,140.11565959989093,140.11565959989093,140.41531199985184,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.005,db,0.050404580468214784,0.0006379999686032534,142.93123439978808,142.93123439978808,143.23099709977396,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,down,0.005,db,0.05037557360895981,0.0006349999457597733,145.4970760999713,145.4970760999713,145.7970140997786,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.005,db,0.050404580468214784,0.0004647001624107361,148.02976179984398,148.02976179984398,148.32927079987712,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.005,db,0.050404580468214784,0.0005981998983770609,150.6952940998599,150.6952940998599,150.99511509994045,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.005,db,0.050404580468214784,0.0006500999443233013,153.31122009991668,153.31122009991668,153.61083139991388,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.050433604029967084,0.0007410000544041395,156.02678049984388,156.02678049984388,156.32653599977493,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.050462644303834216,0.0006015999242663383,158.79263039981015,158.79263039981015,159.0923758998979,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.050462644303834216,0.0007123001851141453,161.25845029996708,161.25845029996708,161.55819399980828,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.050491701299439216,0.0006045999471098185,163.77429549978115,163.77429549978115,164.07411069981754,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.05052077502641066,0.0008362999651581049,166.2069589998573,166.2069589998573,166.50654889992438,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.05054986549438267,0.0003831000067293644,168.9057562998496,168.9057562998496,169.20568389981054,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.05054986549438267,0.0006081999745219946,171.3885845998302,171.3885845998302,171.6881102998741,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.05057897271299492,0.000682799844071269,173.92058849986643,173.92058849986643,174.22049989993684,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.05060809669189262,0.000337099889293313,176.56992529984564,176.56992529984564,176.8696698998101,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.05060809669189262,0.0006856999825686216,179.13572659995407,179.13572659995407,179.4355604997836,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.05063723744072654,0.0006891000084578991,181.56828029989265,181.56828029989265,181.8683115998283,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.05063723744072654,0.0006742998957633972,184.11735119996592,184.11735119996592,184.41722459997982,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.05063723744072654,0.000695900060236454,186.74979179981165,186.74979179981165,187.04930919990875,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,up,0.005,db,0.050666394969153025,0.0005246000364422798,189.46563189988956,189.46563189988956,189.76540939998813,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.050695569286833955,0.0006766000296920538,191.94810269982554,191.94810269982554,192.2478558998555,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.050695569286833955,0.0005735999438911676,194.36384799983352,194.36384799983352,194.6636525997892,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
